"name","place_birth","pk_person","name:1","author","place_publication"
"Shelley, Mary Wollstonecraft",UK,1,Frankenstein,1,England
"Schwab, Victoria",USA,2,Vicious,2,United States
"Riordan, Rick",USA,3,The Lightning Thief,3,United States
"Rowling, Joanne",UK,4,Harry Potter and the Philosopher's Stone,4,England
"King, Stephen",USA,5,Carrie,5,United States
"Stoker, Bram",UK,6,Dracula,6,England
"Rothfuss, Patrick",USA,7,The Name of the Wind,7,United States
"Tolkien, J.R.R.",UK,8,The Hobbit,8,England
"Stiefvater, Maggie",USA,9,The Raven Boys,9,United States
"Clare, Cassandra",Iran,10,City of Bones,10,United States
